date_complete,annee,pays,zone,localite,activite,type_attaque,sexe,age,tranche_age,geocoded_query,latitude,longitude,geocode_status,geocode_source
1748-01-01,1748,PANAMA,Las Perlas archipelago,Taboga & Isla del Rey,Pearl diving,Unprovoked,M,,,"Taboga & Isla del Rey, Las Perlas archipelago, PANAMA",,,not_requested,Nominatim/OpenStreetMap
1749-01-01,1749,CUBA,Havana Province,Havana Harbor,Swimming,Unprovoked,M,14.0,10-19,"Havana Harbor, Havana Province, CUBA",,,not_found,Nominatim/OpenStreetMap
1751-07-27,1751,USA,Massachusetts,,Swimming,Unprovoked,M,,,"Massachusetts, USA",,,not_requested,Nominatim/OpenStreetMap
1753-10-27,1753,JAMAICA,,Kingston Harbor,Fell overboard,Unprovoked,M,,,"Kingston Harbor, JAMAICA",,,not_requested,Nominatim/OpenStreetMap
1755-01-01,1755,SWEDEN,Skagerrak arm of the North Sea,Bohuslän,Inconnue,Unprovoked,M,,,"Bohuslän, Skagerrak arm of the North Sea, SWEDEN",,,not_requested,Nominatim/OpenStreetMap
1758-01-01,1758,MEDITERRANEAN SEA,,,"Fell overboard from a frigate & was swallowed by a shark. The captain fired a gun at the shark, and the creature cast the man out of his throat.",Unprovoked,M,,,MEDITERRANEAN SEA,,,not_requested,Nominatim/OpenStreetMap
1764-01-01,1764,SPAIN,,Guadalquivir River,Swimming,Unprovoked,M,,,"Guadalquivir River, SPAIN",,,not_requested,Nominatim/OpenStreetMap
1767-01-01,1767,FRANCE,Côte d'Azur,St. Tropez,Bathing,Invalid,M,,,"St. Tropez, Côte d'Azur, FRANCE",,,not_requested,Nominatim/OpenStreetMap
1771-07-12,1771,USA,,Damiscotte,Fishing,Unprovoked,M,,,"Damiscotte, USA",,,not_requested,Nominatim/OpenStreetMap
1776-01-01,1776,GREENLAND,,,Inconnue,Watercraft,,,,GREENLAND,,,not_requested,Nominatim/OpenStreetMap
1776-01-01,1776,GUINEA,,,Murder,Unprovoked,M,,,GUINEA,,,not_requested,Nominatim/OpenStreetMap
1779-01-01,1779,USA,Hawaii,"Maliu, Hawai'i",Surfing,Unprovoked,M,,,"Maliu, Hawai'i, Hawaii, USA",,,not_requested,Nominatim/OpenStreetMap
1780-08-08,1780,USA,Florida,"Pensacola Harbor, Escambia County",Swimming,Unprovoked,M,,,"Pensacola Harbor, Escambia County, Florida, USA",,,not_requested,Nominatim/OpenStreetMap
1783-03-02,1783,MARTINIQUE,,Foundering of the privateer Holker,Inconnue,Sea Disaster,M,,,"Foundering of the privateer Holker, MARTINIQUE",,,not_requested,Nominatim/OpenStreetMap
1784-12-12,1784,JAMAICA,,Kingston,Swimming,Unprovoked,M,,,"Kingston, JAMAICA",,,not_requested,Nominatim/OpenStreetMap
1785-09-26,1785,ENGLAND,Sussex,Brighton,Inconnue,Unprovoked,M,,,"Brighton, Sussex, ENGLAND",,,not_requested,Nominatim/OpenStreetMap
1786-08-10,1786,BARBADOS,,,Washing himself,Unprovoked,M,,,BARBADOS,,,not_requested,Nominatim/OpenStreetMap
1788-05-10,1788,AUSTRALIA,New South Wales,Sydney Harbor,Fishing,Watercraft,,,,"Sydney Harbor, New South Wales, AUSTRALIA",-33.8661645,151.1995721,geocoded,Nominatim/OpenStreetMap
1791-01-01,1791,AUSTRALIA,New South Wales,Port Jackson,Inconnue,Unprovoked,F,,,"Port Jackson, New South Wales, AUSTRALIA",,,not_requested,Nominatim/OpenStreetMap
1792-09-12,1792,ENGLAND,,On the Thames River,Fishing,Provoked,M,,,"On the Thames River, ENGLAND",,,not_requested,Nominatim/OpenStreetMap
1800-01-01,1800,SEYCHELLES,St. Anne,,a corsair's boat was overturned,Unprovoked,F,,,"St. Anne, SEYCHELLES",,,not_requested,Nominatim/OpenStreetMap
1802-04-13,1802,INDIA,,,Inconnue,Unprovoked,,,,INDIA,,,not_requested,Nominatim/OpenStreetMap
1803-05-17,1803,USA,South Carolina,Off Charleston,Inconnue,Sea Disaster,M,,,"Off Charleston, South Carolina, USA",,,not_requested,Nominatim/OpenStreetMap
1803-03-01,1803,AUSTRALIA,Western Australia,"Hamelin Harbour, at Faure Island",Inconnue,Unprovoked,M,,,"Hamelin Harbour, at Faure Island, Western Australia, AUSTRALIA",,,not_requested,Nominatim/OpenStreetMap
1804-02-26,1804,AUSTRALIA,New South Wales,"Georges Head, off Port Jackson",Inconnue,Watercraft,,,,"Georges Head, off Port Jackson, New South Wales, AUSTRALIA",,,not_requested,Nominatim/OpenStreetMap
1805-09-01,1805,USA,New York,"Sag Harbor, Suffolk County",Inconnue,Invalid,M,,,"Sag Harbor, Suffolk County, New York, USA",,,not_requested,Nominatim/OpenStreetMap
1807-01-12,1807,AUSTRALIA,New South Wales,"Cockle Bay, Sydney Harbour",Inconnue,Unprovoked,M,,,"Cockle Bay, Sydney Harbour, New South Wales, AUSTRALIA",,,not_requested,Nominatim/OpenStreetMap
1808-05-01,1808,ANTIGUA,,Falmouth Harbour,Inconnue,Sea Disaster,,,,"Falmouth Harbour, ANTIGUA",,,not_requested,Nominatim/OpenStreetMap
1808-02-07,1808,INDIA,,Hooghly River,Bathing,Unprovoked,M,,,"Hooghly River, INDIA",,,not_requested,Nominatim/OpenStreetMap
1808-12-25,1808,JAMAICA,Kingston Parish,Port Royal Harbour,Swimming,Unprovoked,M,,,"Port Royal Harbour, Kingston Parish, JAMAICA",,,not_requested,Nominatim/OpenStreetMap
1810-09-15,1810,USA,South Carolina,Charleston,Fell into the water,Unprovoked,M,,,"Charleston, South Carolina, USA",32.7884363,-79.9399309,geocoded,Nominatim/OpenStreetMap
1812-05-01,1812,ENGLAND,Devon,Mill Bay,Swimming,Unprovoked,M,,,"Mill Bay, Devon, ENGLAND",,,not_requested,Nominatim/OpenStreetMap
1815-10-01,1815,TOBAGO,,Scarborough Bay,Bathing,Unprovoked,M,,,"Scarborough Bay, TOBAGO",,,not_requested,Nominatim/OpenStreetMap
1816-09-03,1816,USA,Rhode Island,Bristol Harbor,Swimming,Unprovoked,M,,,"Bristol Harbor, Rhode Island, USA",,,not_requested,Nominatim/OpenStreetMap
1817-06-15,1817,INDIA,Maharashtra,Bombay (now Mumbai),Swimming,Unprovoked,M,,,"Bombay (now Mumbai), Maharashtra, INDIA",,,not_requested,Nominatim/OpenStreetMap
1817-05-11,1817,SRI LANKA,Western Province,Colombo,Swimming,Unprovoked,M,22.0,20-29,"Colombo, Western Province, SRI LANKA",,,not_requested,Nominatim/OpenStreetMap
1817-02-22,1817,SRI LANKA,,Gulf of Mannar,Conch diver,Unprovoked,M,,,"Gulf of Mannar, SRI LANKA",,,not_requested,Nominatim/OpenStreetMap
1817-06-24,1817,USA,South Carolina,"Charleston Harbor, Charleston County",Swimming,Unprovoked,M,,,"Charleston Harbor, Charleston County, South Carolina, USA",,,not_requested,Nominatim/OpenStreetMap
1818-05-22,1818,NORWAY,,Herøy,Inconnue,Invalid,M,,,"Herøy, NORWAY",,,not_requested,Nominatim/OpenStreetMap
1819-07-08,1819,SPAIN,,Cadiz,Inconnue,Invalid,M,,,"Cadiz, SPAIN",,,not_requested,Nominatim/OpenStreetMap
1822-04-15,1822,NIGERIA,Rivers State,Bonny River,Inconnue,Unprovoked,,,,"Bonny River, Rivers State, NIGERIA",,,not_requested,Nominatim/OpenStreetMap
1823-12-30,1823,JAMAICA,,,Inconnue,Invalid,M,,,JAMAICA,18.1850507,-77.3947693,geocoded,Nominatim/OpenStreetMap
,1825,AUSTRALIA,Western Australia,South Bruny Island,Inconnue,Invalid,M,,,"South Bruny Island, Western Australia, AUSTRALIA",,,not_requested,Nominatim/OpenStreetMap
,1825,AUSTRALIA,Tasmania,"Sweet Water Point, Pitt Water",Swimming,Unprovoked,M,,,"Sweet Water Point, Pitt Water, Tasmania, AUSTRALIA",,,not_requested,Nominatim/OpenStreetMap
1826-08-28,1826,CUBA,,,HBM Magpie foundered in a squall,Sea Disaster,M,,,CUBA,,,not_requested,Nominatim/OpenStreetMap
1826-08-15,1826,ENGLAND,Cumberland,Whitehaven,Bathing,Unprovoked,,,,"Whitehaven, Cumberland, ENGLAND",,,not_requested,Nominatim/OpenStreetMap
1826-12-01,1826,BRAZIL,Paraiba,Paraiba,Inconnue,Unprovoked,M,,,"Paraiba, Paraiba, BRAZIL",,,not_requested,Nominatim/OpenStreetMap
,1826,GHANA,Cape Coast,,Bathing,Unprovoked,M,,,"Cape Coast, GHANA",,,not_requested,Nominatim/OpenStreetMap
1826-05-20,1826,JAMAICA,,,Jumped overboard,Unprovoked,M,,,JAMAICA,18.1850507,-77.3947693,geocoded,Nominatim/OpenStreetMap
1827-06-01,1827,SIERRA LEONE,Western Area,Tombo Island in the Sierra Leone River,Swimming,Unprovoked,M,,,"Tombo Island in the Sierra Leone River, Western Area, SIERRA LEONE",,,not_requested,Nominatim/OpenStreetMap
1827-01-01,1827,EGYPT,,Alexandria,Inconnue,Unprovoked,M,,,"Alexandria, EGYPT",,,not_requested,Nominatim/OpenStreetMap
1827-06-01,1827,SIERRA LEONE,Western Area,Tombo Island in the Sierra Leone River,Swimming,Unprovoked,M,,,"Tombo Island in the Sierra Leone River, Western Area, SIERRA LEONE",,,not_requested,Nominatim/OpenStreetMap
1828-01-01,1828,USA,Hawaii,"Uo, Lahaina, Maui",Surfing,Unprovoked,M,,,"Uo, Lahaina, Maui, Hawaii, USA",,,not_requested,Nominatim/OpenStreetMap
1828-09-28,1828,SIERRA LEONE,Western Area,"River Sierra Leone, 35 miles  upriver from Freetown","British ship, Britannia,  was loading lumber. He was bathing",Unprovoked,M,17.0,10-19,"River Sierra Leone, 35 miles  upriver from Freetown, Western Area, SIERRA LEONE",,,not_requested,Nominatim/OpenStreetMap
1829-06-10,1829,USA,New Jersey,"Sandy Hook Bay, Highlands, Monmouth County",Fell overboard from the ship Gem,Unprovoked,M,,,"Sandy Hook Bay, Highlands, Monmouth County, New Jersey, USA",,,not_requested,Nominatim/OpenStreetMap
1829-01-01,1829,CARIBBEAN SEA,,Between St. Bart's and Saba,Wreck of the schooner Driver,Sea Disaster,M,,,"Between St. Bart's and Saba, CARIBBEAN SEA",,,not_requested,Nominatim/OpenStreetMap
1829-07-03,1829,SIERRA LEONE,Western Area,,Inconnue,Unprovoked,M,,,"Western Area, SIERRA LEONE",,,not_requested,Nominatim/OpenStreetMap
1830-07-02,1830,INDIA,Tamil Nadu,Madras,Washing a dog,Unprovoked,M,,,"Madras, Tamil Nadu, INDIA",,,not_requested,Nominatim/OpenStreetMap
1830-07-26,1830,USA,Massachusetts,"Swampscott, Essex County","Fishing from dory, shark upset boat & he fell into the water",Unprovoked,M,52.0,50-59,"Swampscott, Essex County, Massachusetts, USA",,,not_requested,Nominatim/OpenStreetMap
1830-04-30,1830,INDIA,Tamil Nadu,St. Thomé,Bathing,Unprovoked,M,,,"St. Thomé, Tamil Nadu, INDIA",,,not_requested,Nominatim/OpenStreetMap
1831-01-22,1831,AUSTRALIA,Tasmania,Hobart,"Boat capsized, clinging to line",Invalid,M,,,"Hobart, Tasmania, AUSTRALIA",,,not_requested,Nominatim/OpenStreetMap
1831-08-24,1831,USA,CUBA,Near Havana,American schooner Orator capsized,Watercraft,M,,,"Near Havana, CUBA, USA",,,not_requested,Nominatim/OpenStreetMap
1832-06-04,1832,AUSTRALIA,New South Wales,"South Head, Sydney",Fishing,Unprovoked,F,,,"South Head, Sydney, New South Wales, AUSTRALIA",,,not_requested,Nominatim/OpenStreetMap
1832-01-23,1832,AUSTRALIA,New South Wales,Sydney,Bathing,Unprovoked,M,,,"Sydney, New South Wales, AUSTRALIA",-33.8698439,151.2082848,geocoded,Nominatim/OpenStreetMap
1834-07-15,1834,FRENCH POLYNESIA,Society Islands,Tahiti,Swimming,Unprovoked,F,,,"Tahiti, Society Islands, FRENCH POLYNESIA",,,not_requested,Nominatim/OpenStreetMap
1835-01-06,1835,TASMAN SEA,35º39 : 165º8',Alongside the whaler Marianne,Hooking into a whale,Unprovoked,M,,,"Alongside the whaler Marianne, 35º39 : 165º8', TASMAN SEA",,,not_requested,Nominatim/OpenStreetMap
1835-02-21,1835,VANUATU,Sanma Province,"Bay of Yago, Espiritu Santo Island",Bathing,Unprovoked,M,,,"Bay of Yago, Espiritu Santo Island, Sanma Province, VANUATU",,,not_requested,Nominatim/OpenStreetMap
1836-01-01,1836,SPAIN,,,Inconnue,Invalid,,,,SPAIN,,,not_requested,Nominatim/OpenStreetMap
1836-01-01,1836,AUSTRALIA,South Australia,,Inconnue,Unprovoked,,,,"South Australia, AUSTRALIA",,,not_requested,Nominatim/OpenStreetMap
1837-01-17,1837,AUSTRALIA,New South Wales,Macleay River,Washing his feet,Unprovoked,M,12.0,10-19,"Macleay River, New South Wales, AUSTRALIA",,,not_requested,Nominatim/OpenStreetMap
1837-09-09,1837,USA,South Carolina,"Magwoods Wharf, Charleston Harbor, Charleston County",Bathing,Unprovoked,M,,,"Magwoods Wharf, Charleston Harbor, Charleston County, South Carolina, USA",,,not_requested,Nominatim/OpenStreetMap
1837-07-01,1837,USA,New York,New York,Bathing,Unprovoked,M,,,"New York, New York, USA",,,not_requested,Nominatim/OpenStreetMap
,1837,USA,South Carolina,“Southern Wharf”,Inconnue,Invalid,M,,,"“Southern Wharf”, South Carolina, USA",,,not_requested,Nominatim/OpenStreetMap
1839-04-14,1839,CUBA,Matanzas Province (north coast),Matanzas,Sitting on gunwale of boat,Unprovoked,M,,,"Matanzas, Matanzas Province (north coast), CUBA",,,not_requested,Nominatim/OpenStreetMap
,1839,AUSTRALIA,South Australia,"Horn Point, Lady's Bay",Attempting to rescue crew after whale upset their boat,Unprovoked,M,,,"Horn Point, Lady's Bay, South Australia, AUSTRALIA",,,not_requested,Nominatim/OpenStreetMap
1839-11-17,1839,AUSTRALIA,New South Wales,,Inconnue,Invalid,M,,,"New South Wales, AUSTRALIA",-32.1629594,147.0320469,geocoded,Nominatim/OpenStreetMap
,1839,FIJI,Viti Levu Island,Rewa,Inconnue,Unprovoked,M,29.0,20-29,"Rewa, Viti Levu Island, FIJI",,,not_requested,Nominatim/OpenStreetMap
1840-12-01,1840,AUSTRALIA,New South Wales,"Off Domain, Sydney Harbor",Swimming,Unprovoked,M,,,"Off Domain, Sydney Harbor, New South Wales, AUSTRALIA",,,not_requested,Nominatim/OpenStreetMap
1840-09-18,1840,FIJI,Viti Levu Island,Rewa,Inconnue,Unprovoked,M,,,"Rewa, Viti Levu Island, FIJI",,,not_requested,Nominatim/OpenStreetMap
1840-07-22,1840,USA,South Carolina,"Charleston Harbor, Charleston County",Accidentally thrown overboard & treading water while awaiting rescue,Unprovoked,M,,,"Charleston Harbor, Charleston County, South Carolina, USA",,,not_requested,Nominatim/OpenStreetMap
1840-04-09,1840,WEST INDIES,,,Swimming,Unprovoked,M,,,WEST INDIES,,,not_requested,Nominatim/OpenStreetMap
1840-02-01,1840,AUSTRALIA,Tasmania,George Town Cove,Sailing,Watercraft,,,,"George Town Cove, Tasmania, AUSTRALIA",,,not_requested,Nominatim/OpenStreetMap
1841-03-27,1841,AUSTRALIA,New South Wales,"Cockatoo Island, Sydney",Bathing,Unprovoked,M,,,"Cockatoo Island, Sydney, New South Wales, AUSTRALIA",,,not_requested,Nominatim/OpenStreetMap
1842-07-13,1842,USA,New Jersey,"Absecon, Atlantic County",Swimming,Unprovoked,M,15.0,10-19,"Absecon, Atlantic County, New Jersey, USA",,,not_requested,Nominatim/OpenStreetMap
1842-07-06,1842,USA,New Jersey,"Absecon, Atlantic County",Harassing a shark,Provoked,M,,,"Absecon, Atlantic County, New Jersey, USA",,,not_requested,Nominatim/OpenStreetMap
1842-01-01,1842,AUSTRALIA,New South Wales,Sydney Harbor,"Unknown, but it was said to be the First known attack in Sydney Harbour",Unprovoked,M,,,"Sydney Harbor, New South Wales, AUSTRALIA",-33.8661645,151.1995721,geocoded,Nominatim/OpenStreetMap
1842-01-01,1842,INDIA,Tamil Nadu,Chennai (formerly Madras),Washed off catamaran in the surf,Unprovoked,M,7.0,0-9,"Chennai (formerly Madras), Tamil Nadu, INDIA",,,not_requested,Nominatim/OpenStreetMap
1844-01-01,1844,ALGERIA,,Cape Matifou,Swimming,Unprovoked,M,,,"Cape Matifou, ALGERIA",,,not_requested,Nominatim/OpenStreetMap
1844-01-01,1844,MADAGASCAR,,,Fell overboard,Unprovoked,M,,,MADAGASCAR,,,not_requested,Nominatim/OpenStreetMap
1844-05-24,1844,COAST OF AFRICA,Island of St. Thomas,,Fell overboard,Unprovoked,M,,,"Island of St. Thomas, COAST OF AFRICA",,,not_requested,Nominatim/OpenStreetMap
1844-07-20,1844,NAMIBIA,,,Boat capsized,Unprovoked,M,,,NAMIBIA,,,not_requested,Nominatim/OpenStreetMap
1845-11-04,1845,MEXICO,Vera Cruz,Vera Cruz,Bathing,Unprovoked,M,,,"Vera Cruz, Vera Cruz, MEXICO",,,not_requested,Nominatim/OpenStreetMap
1845-01-01,1845,SIERRA LEONE,,,Inconnue,Unprovoked,M,,,SIERRA LEONE,,,not_requested,Nominatim/OpenStreetMap
1845-07-31,1845,USA,Florida,"Pensacola Bay, Escambia County",Fell overboard,Unprovoked,M,,,"Pensacola Bay, Escambia County, Florida, USA",30.388064,-87.1876779,geocoded,Nominatim/OpenStreetMap
1845-09-16,1845,ENGLAND,,,Inconnue,Unprovoked,M,,,ENGLAND,,,not_requested,Nominatim/OpenStreetMap
1845-12-26,1845,AUSTRALIA,New South Wales,Newcastle,Fishing,Unprovoked,M,,,"Newcastle, New South Wales, AUSTRALIA",-32.9192953,151.7795348,geocoded,Nominatim/OpenStreetMap
1845-09-10,1845,USA,Florida,"Pensacola Bay, Escambia County",Seine netting,Unprovoked,M,,,"Pensacola Bay, Escambia County, Florida, USA",30.388064,-87.1876779,geocoded,Nominatim/OpenStreetMap
1846-09-30,1846,AFRICA,,,Jumped into river,Unprovoked,M,,,AFRICA,,,not_requested,Nominatim/OpenStreetMap
1846-08-20,1846,CUBA,Havana Province,Havana Harbor,Bathing,Unprovoked,M,,,"Havana Harbor, Havana Province, CUBA",,,not_found,Nominatim/OpenStreetMap
1846-12-08,1846,MEXICO,Veracruz,Vera Cruz,Wreck of the USS Somers,Sea Disaster,M,,,"Vera Cruz, Veracruz, MEXICO",,,not_requested,Nominatim/OpenStreetMap
1847-07-03,1847,USA,Hawaii,,Hilo,Unprovoked,M,,,"Hawaii, USA",19.5938015,-155.4283701,geocoded,Nominatim/OpenStreetMap
1847-09-10,1847,USA,Massachusetts,"Chelsea Beach, Suffolk County",Wading,Unprovoked,M,,,"Chelsea Beach, Suffolk County, Massachusetts, USA",,,not_requested,Nominatim/OpenStreetMap
1847-11-30,1847,AUSTRALIA,Queensland,Brisbane River,Swimming,Unprovoked,M,,,"Brisbane River, Queensland, AUSTRALIA",-27.1609698,152.5361974,geocoded,Nominatim/OpenStreetMap
,1847,USA,South Carolina,,Watercraft,Unprovoked,M,,,"South Carolina, USA",33.6874388,-80.4363743,geocoded,Nominatim/OpenStreetMap
1847-07-19,1847,GREECE,Corfu,Off the harbor wall at Mandrakina,Swimming,Unprovoked,M,19.0,10-19,"Off the harbor wall at Mandrakina, Corfu, GREECE",,,not_requested,Nominatim/OpenStreetMap
1847-01-01,1847,USA,South Carolina,"Charleston Harbor, Charleston County",Swimming,Invalid,M,,,"Charleston Harbor, Charleston County, South Carolina, USA",,,not_requested,Nominatim/OpenStreetMap
1847-02-12,1847,MEXICO,,,Wreck of the Tweed,Sea Disaster,,,,MEXICO,,,not_requested,Nominatim/OpenStreetMap
,1847,AUSTRALIA,Queensland,Moreton Bay,Inconnue,Unprovoked,,,,"Moreton Bay, Queensland, AUSTRALIA",-27.2397819,153.2539994,geocoded,Nominatim/OpenStreetMap
1847-03-11,1847,AUSTRALIA,Queensland,Moreton Bay,Wreck of the Sovereign,Sea Disaster,M,,,"Moreton Bay, Queensland, AUSTRALIA",-27.2397819,153.2539994,geocoded,Nominatim/OpenStreetMap
1848-07-17,1848,USA,Massachusetts,Cape Cod,Inconnue,Invalid,M,,,"Cape Cod, Massachusetts, USA",,,not_requested,Nominatim/OpenStreetMap
1848-07-01,1848,ENGLAND,Norfolk,Hunstanton,Standing,Unprovoked,M,,,"Hunstanton, Norfolk, ENGLAND",,,not_requested,Nominatim/OpenStreetMap
1848-09-17,1848,TURKEY,Adana Province,Yumurtalik,Swimming,Unprovoked,M,,,"Yumurtalik, Adana Province, TURKEY",,,not_requested,Nominatim/OpenStreetMap
1848-08-31,1848,USA,Maryland,Patapsco River,Swimming,Unprovoked,M,15.0,10-19,"Patapsco River, Maryland, USA",,,not_requested,Nominatim/OpenStreetMap
1849-06-08,1849,USA,Florida,"Pensacola, Escambia County",Bathing,Unprovoked,F,,,"Pensacola, Escambia County, Florida, USA",,,not_requested,Nominatim/OpenStreetMap
1849-12-09,1849,AUSTRALIA,New South Wales,Sydney Harbor,Inconnue,Unprovoked,M,,,"Sydney Harbor, New South Wales, AUSTRALIA",-33.8661645,151.1995721,geocoded,Nominatim/OpenStreetMap
1849-06-08,1849,USA,Florida,"Pensacola, Escambia County",Attempting to rescue woman seized by shark,Unprovoked,M,,,"Pensacola, Escambia County, Florida, USA",,,not_requested,Nominatim/OpenStreetMap
1849-09-19,1849,AUSTRALIA,Victoria,Warrnambool,Swimming,Unprovoked,M,,,"Warrnambool, Victoria, AUSTRALIA",,,not_requested,Nominatim/OpenStreetMap
1849-01-27,1849,AUSTRALIA,New South Wales,Sydney,boat capsized,Invalid,M,,,"Sydney, New South Wales, AUSTRALIA",-33.8698439,151.2082848,geocoded,Nominatim/OpenStreetMap
1849-10-04,1849,PERU,,Tumbez,Swimming,Unprovoked,M,,,"Tumbez, PERU",,,not_requested,Nominatim/OpenStreetMap
1849-12-01,1849,AUSTRALIA,New South Wales,"Woolloomooloo, Sydney Harbor (Estuary)",Bathing,Unprovoked,M,,,"Woolloomooloo, Sydney Harbor (Estuary), New South Wales, AUSTRALIA",,,not_requested,Nominatim/OpenStreetMap
1850-01-01,1850,NICARAGUA,Lake Nicaragua (fresh water),"Granada, Granada Department",Bathing,Unprovoked,M,,,"Granada, Granada Department, Lake Nicaragua (fresh water), NICARAGUA",,,not_requested,Nominatim/OpenStreetMap
1850-10-21,1850,USA,Hawaii,,Swimming after his hat,Unprovoked,M,,,"Hawaii, USA",19.5938015,-155.4283701,geocoded,Nominatim/OpenStreetMap
1851-01-01,1851,USA,California,"San Francisco Bay (or San Leandro Bay), near cannery, Alameda County",Hard hat diving,Unprovoked,M,,,"San Francisco Bay (or San Leandro Bay), near cannery, Alameda County, California, USA",,,not_requested,Nominatim/OpenStreetMap
1851-03-01,1851,USA,Hawaii,Honolulu Harbor,Swimming,Unprovoked,M,,,"Honolulu Harbor, Hawaii, USA",,,not_requested,Nominatim/OpenStreetMap
1851-06-16,1851,MEXICO,Oaxaca,Tehuantepec Harbor,Bathing,Unprovoked,M,,,"Tehuantepec Harbor, Oaxaca, MEXICO",,,not_requested,Nominatim/OpenStreetMap
1852-01-01,1852,USA,South Carolina,"Mount Pleasant, Charleston County","Vessel capsized, wading ashore carrying an oar",Unprovoked,M,,,"Mount Pleasant, Charleston County, South Carolina, USA",,,not_requested,Nominatim/OpenStreetMap
,1852,NEW ZEALAND,North Island,Wellington Harbor,Swimming,Unprovoked,M,,,"Wellington Harbor, North Island, NEW ZEALAND",,,not_requested,Nominatim/OpenStreetMap
1852-10-23,1852,PACIFIC OCEAN,Between Australia & USA,,Fishing,Provoked,M,,,"Between Australia & USA, PACIFIC OCEAN",,,not_requested,Nominatim/OpenStreetMap
1852-12-19,1852,AUSTRALIA,New South Wales,"Clark's Island, Sydney Harbor",Swimming,Invalid,M,,,"Clark's Island, Sydney Harbor, New South Wales, AUSTRALIA",,,not_requested,Nominatim/OpenStreetMap
1852-08-01,1852,USA,Virginia,Norfolk,Swimming,Unprovoked,M,,,"Norfolk, Virginia, USA",,,not_requested,Nominatim/OpenStreetMap
1952-07-28,1852,ATLANTIC OCEAN,,,Inconnue,Invalid,F,1.0,0-9,ATLANTIC OCEAN,13.581921,-38.320312,geocoded,Nominatim/OpenStreetMap
1852-02-26,1852,SOUTH AFRICA,Western Cape Province,Danger Point,Wreck of the steamship Birkenhead,Sea Disaster,M,,,"Danger Point, Western Cape Province, SOUTH AFRICA",,,not_requested,Nominatim/OpenStreetMap
